"","Year","Sport","Country","Gender","Event","Medal"
"1",1984,"Aquatics","CHN","Men","10M Platform","Bronze"
"2",1984,"Aquatics","USA","Men","10M Platform","Gold"
"3",1984,"Aquatics","USA","Men","10M Platform","Silver"
"4",1984,"Aquatics","USA","Women","10M Platform","Bronze"
"5",1984,"Aquatics","CHN","Women","10M Platform","Gold"
"6",1984,"Aquatics","USA","Women","10M Platform","Silver"
"7",1984,"Aquatics","USA","Men","3M Springboard","Bronze"
"8",1984,"Aquatics","USA","Men","3M Springboard","Gold"
"9",1984,"Aquatics","CHN","Men","3M Springboard","Silver"
"10",1984,"Aquatics","USA","Women","3M Springboard","Bronze"
"11",1984,"Aquatics","CAN","Women","3M Springboard","Gold"
"12",1984,"Aquatics","USA","Women","3M Springboard","Silver"
"13",1984,"Aquatics","CAN","Men","100M Backstroke","Bronze"
"14",1984,"Aquatics","USA","Men","100M Backstroke","Gold"
"15",1984,"Aquatics","USA","Men","100M Backstroke","Silver"
"16",1984,"Aquatics","NED","Women","100M Backstroke","Bronze"
"17",1984,"Aquatics","USA","Women","100M Backstroke","Gold"
"18",1984,"Aquatics","USA","Women","100M Backstroke","Silver"
"19",1984,"Aquatics","AUS","Men","100M Breaststroke","Bronze"
"20",1984,"Aquatics","USA","Men","100M Breaststroke","Gold"
"21",1984,"Aquatics","CAN","Men","100M Breaststroke","Silver"
"22",1984,"Aquatics","FRA","Women","100M Breaststroke","Bronze"
"23",1984,"Aquatics","NED","Women","100M Breaststroke","Gold"
"24",1984,"Aquatics","CAN","Women","100M Breaststroke","Silver"
"25",1984,"Aquatics","AUS","Men","100M Butterfly","Bronze"
"26",1984,"Aquatics","GER","Men","100M Butterfly","Gold"
"27",1984,"Aquatics","USA","Men","100M Butterfly","Silver"
"28",1984,"Aquatics","GER","Women","100M Butterfly","Bronze"
"29",1984,"Aquatics","USA","Women","100M Butterfly","Gold"
"30",1984,"Aquatics","USA","Women","100M Butterfly","Silver"
"31",1984,"Aquatics","SWE","Men","100M Freestyle","Bronze"
"32",1984,"Aquatics","USA","Men","100M Freestyle","Gold"
"33",1984,"Aquatics","AUS","Men","100M Freestyle","Silver"
"34",1984,"Aquatics","NED","Women","100M Freestyle","Bronze"
"36",1984,"Aquatics","USA","Women","100M Freestyle","Gold"
"37",1984,"Aquatics","GER","Men","1500M Freestyle","Bronze"
"38",1984,"Aquatics","USA","Men","1500M Freestyle","Gold"
"39",1984,"Aquatics","USA","Men","1500M Freestyle","Silver"
"40",1984,"Aquatics","CAN","Men","200M Backstroke","Bronze"
"41",1984,"Aquatics","USA","Men","200M Backstroke","Gold"
"42",1984,"Aquatics","FRA","Men","200M Backstroke","Silver"
"43",1984,"Aquatics","ROU","Women","200M Backstroke","Bronze"
"44",1984,"Aquatics","NED","Women","200M Backstroke","Gold"
"45",1984,"Aquatics","USA","Women","200M Backstroke","Silver"
"46",1984,"Aquatics","SUI","Men","200M Breaststroke","Bronze"
"47",1984,"Aquatics","CAN","Men","200M Breaststroke","Gold"
"48",1984,"Aquatics","AUS","Men","200M Breaststroke","Silver"
"49",1984,"Aquatics","BEL","Women","200M Breaststroke","Bronze"
"50",1984,"Aquatics","CAN","Women","200M Breaststroke","Gold"
"51",1984,"Aquatics","USA","Women","200M Breaststroke","Silver"
"52",1984,"Aquatics","VEN","Men","200M Butterfly","Bronze"
"53",1984,"Aquatics","AUS","Men","200M Butterfly","Gold"
"54",1984,"Aquatics","GER","Men","200M Butterfly","Silver"
"55",1984,"Aquatics","GER","Women","200M Butterfly","Bronze"
"56",1984,"Aquatics","USA","Women","200M Butterfly","Gold"
"57",1984,"Aquatics","AUS","Women","200M Butterfly","Silver"
"58",1984,"Aquatics","GER","Men","200M Freestyle","Bronze"
"59",1984,"Aquatics","GER","Men","200M Freestyle","Gold"
"60",1984,"Aquatics","USA","Men","200M Freestyle","Silver"
"61",1984,"Aquatics","NED","Women","200M Freestyle","Bronze"
"62",1984,"Aquatics","USA","Women","200M Freestyle","Gold"
"63",1984,"Aquatics","USA","Women","200M Freestyle","Silver"
"64",1984,"Aquatics","GBR","Men","200M Individual Medley","Bronze"
"65",1984,"Aquatics","CAN","Men","200M Individual Medley","Gold"
"66",1984,"Aquatics","USA","Men","200M Individual Medley","Silver"
"67",1984,"Aquatics","AUS","Women","200M Individual Medley","Bronze"
"68",1984,"Aquatics","USA","Women","200M Individual Medley","Gold"
"69",1984,"Aquatics","USA","Women","200M Individual Medley","Silver"
"70",1984,"Aquatics","AUS","Men","400M Freestyle","Bronze"
"71",1984,"Aquatics","USA","Men","400M Freestyle","Gold"
"72",1984,"Aquatics","USA","Men","400M Freestyle","Silver"
"73",1984,"Aquatics","GBR","Women","400M Freestyle","Bronze"
"74",1984,"Aquatics","USA","Women","400M Freestyle","Gold"
"75",1984,"Aquatics","GBR","Women","400M Freestyle","Silver"
"76",1984,"Aquatics","AUS","Men","400M Individual Medley","Bronze"
"77",1984,"Aquatics","CAN","Men","400M Individual Medley","Gold"
"78",1984,"Aquatics","BRA","Men","400M Individual Medley","Silver"
"79",1984,"Aquatics","GER","Women","400M Individual Medley","Bronze"
"80",1984,"Aquatics","USA","Women","400M Individual Medley","Gold"
"81",1984,"Aquatics","AUS","Women","400M Individual Medley","Silver"
"85",1984,"Aquatics","SWE","Men","4X100M Freestyle Relay","Bronze"
"89",1984,"Aquatics","USA","Men","4X100M Freestyle Relay","Gold"
"93",1984,"Aquatics","AUS","Men","4X100M Freestyle Relay","Silver"
"97",1984,"Aquatics","GER","Women","4X100M Freestyle Relay","Bronze"
"101",1984,"Aquatics","USA","Women","4X100M Freestyle Relay","Gold"
"105",1984,"Aquatics","NED","Women","4X100M Freestyle Relay","Silver"
"109",1984,"Aquatics","AUS","Men","4X100M Medley Relay","Bronze"
"113",1984,"Aquatics","USA","Men","4X100M Medley Relay","Gold"
"117",1984,"Aquatics","CAN","Men","4X100M Medley Relay","Silver"
"121",1984,"Aquatics","CAN","Women","4X100M Medley Relay","Bronze"
"125",1984,"Aquatics","USA","Women","4X100M Medley Relay","Gold"
"129",1984,"Aquatics","GER","Women","4X100M Medley Relay","Silver"
"133",1984,"Aquatics","GBR","Men","4X200M Freestyle Relay","Bronze"
"137",1984,"Aquatics","USA","Men","4X200M Freestyle Relay","Gold"
"141",1984,"Aquatics","GER","Men","4X200M Freestyle Relay","Silver"
"142",1984,"Aquatics","GBR","Women","800M Freestyle","Bronze"
"143",1984,"Aquatics","USA","Women","800M Freestyle","Gold"
"144",1984,"Aquatics","USA","Women","800M Freestyle","Silver"
"146",1984,"Aquatics","JPN","Women","Duet","Bronze"
"148",1984,"Aquatics","USA","Women","Duet","Gold"
"150",1984,"Aquatics","CAN","Women","Duet","Silver"
"151",1984,"Aquatics","JPN","Women","Solo","Bronze"
"152",1984,"Aquatics","USA","Women","Solo","Gold"
"153",1984,"Aquatics","CAN","Women","Solo","Silver"
"166",1984,"Aquatics","GER","Men","Water Polo","Bronze"
"179",1984,"Aquatics","USA","Men","Water Polo","Silver"
"180",1984,"Archery","JPN","Men","Individual Fita Round","Bronze"
"181",1984,"Archery","USA","Men","Individual Fita Round","Gold"
"182",1984,"Archery","USA","Men","Individual Fita Round","Silver"
"183",1984,"Archery","KOR","Women","Individual Fita Round","Bronze"
"184",1984,"Archery","KOR","Women","Individual Fita Round","Gold"
"185",1984,"Archery","CHN","Women","Individual Fita Round","Silver"
"186",1984,"Athletics","KEN","Men","10000M","Bronze"
"187",1984,"Athletics","ITA","Men","10000M","Gold"
"188",1984,"Athletics","GBR","Men","10000M","Silver"
"189",1984,"Athletics","CAN","Men","100M","Bronze"
"190",1984,"Athletics","USA","Men","100M","Gold"
"191",1984,"Athletics","USA","Men","100M","Silver"
"192",1984,"Athletics","JAM","Women","100M","Bronze"
"193",1984,"Athletics","USA","Women","100M","Gold"
"194",1984,"Athletics","USA","Women","100M","Silver"
"196",1984,"Athletics","USA","Women","100M Hurdles","Bronze"
"197",1984,"Athletics","USA","Women","100M Hurdles","Gold"
"198",1984,"Athletics","GBR","Women","100M Hurdles","Silver"
"199",1984,"Athletics","FIN","Men","110M Hurdles","Bronze"
"200",1984,"Athletics","USA","Men","110M Hurdles","Gold"
"201",1984,"Athletics","USA","Men","110M Hurdles","Silver"
"202",1984,"Athletics","ESP","Men","1500M","Bronze"
"203",1984,"Athletics","GBR","Men","1500M","Gold"
"204",1984,"Athletics","GBR","Men","1500M","Silver"
"205",1984,"Athletics","ROU","Women","1500M","Bronze"
"206",1984,"Athletics","ITA","Women","1500M","Gold"
"207",1984,"Athletics","ROU","Women","1500M","Silver"
"208",1984,"Athletics","USA","Men","200M","Bronze"
"209",1984,"Athletics","USA","Men","200M","Gold"
"210",1984,"Athletics","USA","Men","200M","Silver"
"211",1984,"Athletics","JAM","Women","200M","Bronze"
"212",1984,"Athletics","USA","Women","200M","Gold"
"213",1984,"Athletics","USA","Women","200M","Silver"
"214",1984,"Athletics","ITA","Men","20KM Walk","Bronze"
"215",1984,"Athletics","MEX","Men","20KM Walk","Gold"
"216",1984,"Athletics","MEX","Men","20KM Walk","Silver"
"217",1984,"Athletics","CAN","Women","3000M","Bronze"
"218",1984,"Athletics","ROU","Women","3000M","Gold"
"219",1984,"Athletics","GBR","Women","3000M","Silver"
"220",1984,"Athletics","USA","Men","3000M Steeplechase","Bronze"
"221",1984,"Athletics","KEN","Men","3000M Steeplechase","Gold"
"222",1984,"Athletics","FRA","Men","3000M Steeplechase","Silver"
"223",1984,"Athletics","USA","Men","400M","Bronze"
"224",1984,"Athletics","USA","Men","400M","Gold"
"225",1984,"Athletics","CIV","Men","400M","Silver"
"226",1984,"Athletics","GBR","Women","400M","Bronze"
"227",1984,"Athletics","USA","Women","400M","Gold"
"228",1984,"Athletics","USA","Women","400M","Silver"
"229",1984,"Athletics","GER","Men","400M Hurdles","Bronze"
"230",1984,"Athletics","USA","Men","400M Hurdles","Gold"
"231",1984,"Athletics","USA","Men","400M Hurdles","Silver"
"232",1984,"Athletics","ROU","Women","400M Hurdles","Bronze"
"233",1984,"Athletics","MAR","Women","400M Hurdles","Gold"
"234",1984,"Athletics","USA","Women","400M Hurdles","Silver"
